DEPARTAMENTO;MUNICIPIO;LATITUD;LONGITUD;COD_CENTRO;CENTRO DE VACUNACIÓN;DIRECCIÓN;ENLACE WAZE;ENLACE GOOGLE MAPS;MODALIDAD;REQUISITOS;ENLACE REGISTRO;TIPO DE VACUNA Y DOSIS - GRUPO POBLACIONAL Y ACCESO;DÍAS DE ATENCIÓN;HORARIO;AFL_16102021;CV_16102021:;EP_16102021:;VR_16102021:;DA_16102021:;AFL_17102021;CV_17102021:;EP_17102021:;VR_17102021:;DA_17102021:;AFL_18102021;CV_18102021:;EP_18102021:;VR_18102021:;DA_18102021:;TDA
Guatemala;Guatemala;14.62110184;-90.45150703;1;Alcaldía Canalitos, Antigua Bomba;Antigua Bomba, Salón Alcaldía. Lote 2b Manzana 73 Cantón Porvenir, Canalitos Zona 24 Guatemala;https://waze.com/ul?q=Antigua%20Bomba%2C%20Sal%C3%B3n%20Alcald%C3%ADa.%20Lote%202b%20Manzana%2073%20Cant%C3%B3n%20Porvenir%2C%20Canalitos%20Zona%2024%20GT&navigate=yes;https://maps.google.com/maps/dir//Antigua+Bomba,+Sal%C3%B3n+Alcald%C3%ADa+Auxiliar,+Centro+de+vacunaci%C3%B3n+Unnamed+Road+Cdad.+de+Guatemala/@14.6210933,-90.4515056,16z/data=!4m5!4m4!1m0!1m2!1m1!1s0x8589a35df742df4b:0x4b201bed94770de4;Registro previo / A demanda;DPI + Registro;https://registrovacunacovid.mspas.gob.gt/mspas/login;C:\Users\anton\Documents\UVG\Semestre VI\SIG & Geodesia\PROYECTO_FINAL\ETAPA DE PRUEBA\SVG\FINAL\1.svg;Lunes - Viernes;8:00 - 14:00;16.225;3200;2198;3185;15;21.39458333;2400;1433;2373;27;44.29833333;2400;1416;2379;21;9934
Guatemala;Guatemala;14.60170636;-90.50146394;2;Asamblea Colegio de Profesionales;Colegio de Profesionales 0 Calle 15-46 Zona 15 Colonia El Maestro Guatemala;https://waze.com/ul?q=Colegio%20de%20Profesionales%200%20Calle%2015-46%20Zona%2015%20Colonia%20El%20Maestro%20GT&navigate=yes;https://maps.google.com/maps/dir//Colegio+de+Profesionales+Guatemala+Cdad.+de+Guatemala/@14.6017074,-90.5014643,16z/data=!4m5!4m4!1m0!1m2!1m1!1s0x8589a3b0b5401b33:0xb24eaec40e1f4321;Registro previo / A demanda;DPI + Registro;https://registrovacunacovid.mspas.gob.gt/mspas/login;C:\Users\anton\Documents\UVG\Semestre VI\SIG & Geodesia\PROYECTO_FINAL\ETAPA DE PRUEBA\SVG\FINAL\2.svg;Lunes - Viernes;8:00 - 14:00;34.61333333;1500;917;1482;18;34.23133333;1500;1053;1469;31;25.31333333;4200;3196;4169;31;9934
Guatemala;Guatemala;14.61378415;-90.50747421;3;Campo Marte;Campo de Marte 32 calle final y 15 avenida, zona 5 Guatemala;https://waze.com/ul?q=Campo%20de%20Marte%2032%20calle%20final%20y%2015%20avenida%2C%20zona%205%20GT&navigate=yes;https://maps.google.com/maps/dir//Campo+Marte+36+Avenida+27y+Cdad.+de+Guatemala/@14.6137845,-90.5074729,17z/data=!4m5!4m4!1m0!1m2!1m1!1s0x8589a2357fd58575:0x872acdf82f60b625;Registro previo / A demanda;DPI + Registro;https://registrovacunacovid.mspas.gob.gt/mspas/login;C:\Users\anton\Documents\UVG\Semestre VI\SIG & Geodesia\PROYECTO_FINAL\ETAPA DE PRUEBA\SVG\FINAL\3.svg;Lunes - Domingo;7:00 - 23:59;27.32631579;1900;1459;1882;18;30.20411765;1700;1296;1685;15;25.31333333;4200;3130;4172;28;9934
Guatemala;Guatemala;14.64702914;-90.45114443;4;Centra Norte;Centro Comercial Centra Norte Km 8.5 Carretera Atlántico, Zona 17 Guatemala;https://waze.com/ul?q=Centro%20Comercial%20Centra%20Norte%20Km%208.5%20Carretera%20Atl%C3%A1ntico%2C%20Zona%2017%20GT&navigate=yes;https://maps.google.com/maps/dir//Centra+Norte+Carretera+9+Zona17+Guatemala/@14.6470499,-90.4511337,17z/data=!4m5!4m4!1m0!1m2!1m1!1s0x8589a2ad5be3bb13:0x37a1521338b0c9c2;Registro previo / A demanda;DPI + Registro;https://registrovacunacovid.mspas.gob.gt/mspas/login;C:\Users\anton\Documents\UVG\Semestre VI\SIG & Geodesia\PROYECTO_FINAL\ETAPA DE PRUEBA\SVG\FINAL\4.svg;Lunes - Domingo;8:00 - 14:00;47.2;1100;646;1085;15;30.20411765;1700;1285;1677;23;33.22375;3200;2299;3187;13;9934
Guatemala;Guatemala;14.5799776;-90.49328622;5;Centro Comercial Arkadia;Arkadia Shopping Mall, Boulevard Los Próceres, 18 Calle 26-21, Cdad. de Guatemala;https://waze.com/ul?q=Arkadia%20Shopping%20Mall%20Boulevard%20Los%20Pr%C3%B3ceres%2C%2018%20Calle%2026-21%2C%20Cdad.%20de%20Guatemala%20GT&navigate=yes;https://maps.google.com/maps/dir//Arkadia+Shopping+Mall+Boulevard+Los+Pr%C3%B3ceres+18+Calle+26-21+Cdad.+de+Guatemala/@14.5799767,-90.4932853,16z/data=!4m5!4m4!1m0!1m2!1m1!1s0x8589a39b9db4f0e3:0x93fb9aa9f9d920ba;Registro previo ;DPI + Registro;https://registrovacunacovid.mspas.gob.gt/mspas/login;C:\Users\anton\Documents\UVG\Semestre VI\SIG & Geodesia\PROYECTO_FINAL\ETAPA DE PRUEBA\SVG\FINAL\5.svg;Lunes - Viernes;8:00 - 14:00;30.54117647;1700;1231;1683;17;30.20411765;1700;1209;1686;14;26.579;4000;2976;3987;13;9934
Guatemala;Guatemala;14.62185479;-90.552603;6;Centro Comercial Miraflores;Centro comercial Miraflores Guatemala, 21 Avenida 4-32 Zona 11, Centro Comercial Miraflores Guatemala, 01012;https://waze.com/ul?q=Centro%20Comercial%20Miraflores%2021%20Avenida%204-32%20Zona%2011%20GT&navigate=yes;https://maps.google.com/maps/dir//Centro+comercial+Miraflores+Guatemala+21+Avenida+4-32+Zona+11,+Centro+Comercial+Miraflores+Guatemala+01012/@14.6218539,-90.5526028,16z/data=!4m5!4m4!1m0!1m2!1m1!1s0x8589a110e16ca3d3:0xc69355632110809e;A demanda;DPI + Registro;https://registrovacunacovid.mspas.gob.gt/mspas/login;C:\Users\anton\Documents\UVG\Semestre VI\SIG & Geodesia\PROYECTO_FINAL\ETAPA DE PRUEBA\SVG\FINAL\6.svg;Lunes - Domingo;8:00 - 13:00;47.2;1100;669;1084;16;34.23133333;1500;950;1479;21;24.16272727;4400;3468;4388;12;9934
Guatemala;Guatemala;14.59870447;-90.50760698;7;Centro Comercial Oakland Mall;Oakland Mall, Diag. 6 13-01, Cdad. de Guatemala 01010;https://waze.com/ul?q=Centro%20Comercial%20Oakland%20Mall%20Diagonal%206%2013-01%2C%20Zona%2010%20GT&navigate=yes;https://maps.google.com/maps/dir//Oakland+Mall+Diag.+6+13-01+Cdad.+de+Guatemala+01010/@14.5987057,-90.5076063,18z/data=!4m5!4m4!1m0!1m2!1m1!1s0x8589a3c793b98d83:0xeef9af0a626eb633;Registro previo / A demanda;DPI + Registro;https://registrovacunacovid.mspas.gob.gt/mspas/login;C:\Users\anton\Documents\UVG\Semestre VI\SIG & Geodesia\PROYECTO_FINAL\ETAPA DE PRUEBA\SVG\FINAL\7.svg;Lunes - Domingo;9:00 - 15:00;47.2;1100;501;1082;18;34.23133333;1500;1018;1484;16;35.43866667;3000;2059;2976;24;9934
Guatemala;Guatemala;14.62633675;-90.55577437;8;Centro Comercial Peri Roosevelt;Centro Comercial Peri-Roosevelt, Cdad. de Guatemala;https://waze.com/ul?q=Centro%20Comercial%20Peri-Roosevelt%20Calzada%20Roosevelt%20Zona%207%20GT&navigate=yes;https://maps.google.com/maps/dir//Centro+Comercial+Peri-Roosevelt+Cdad.+de+Guatemala/@14.6263374,-90.5557737,16z/data=!4m5!4m4!1m0!1m2!1m1!1s0x8589a1b0ed924b21:0x836a41404b6e5106;Registro previo / A demanda;DPI + Registro;https://registrovacunacovid.mspas.gob.gt/mspas/login;C:\Users\anton\Documents\UVG\Semestre VI\SIG & Geodesia\PROYECTO_FINAL\ETAPA DE PRUEBA\SVG\FINAL\8.svg;Lunes - Viernes;9:00 - 16:00;30.54117647;1700;1248;1680;20;27.02473684;1900;1340;1880;20;44.29833333;2400;1303;2377;23;9934
Guatemala;Guatemala;14.64704177;-90.48176302;9;Centro Comercial Portales;Centro Comercial Portales Guatemala, Km. 4.5 Carretera al Atlántico 3-20, Cdad. de Guatemala;https://waze.com/ul?q=Centro%20Comercial%20Portales%20Km%204.5%20Carretera%20Atl%C3%A1ntico%2C%20Zona%2017%20GT&navigate=yes;https://maps.google.com/maps/dir//Centro+Comercial+Portales+Guatemala+Km.+4.5+Carretera+al+Atl%C3%A1ntico+3-20+Cdad.+de+Guatemala/@14.6470433,-90.4817633,16z/data=!4m5!4m4!1m0!1m2!1m1!1s0x8589a2858b795577:0x148c20c396c75cd8;Registro previo / A demanda;DPI + Registro;https://registrovacunacovid.mspas.gob.gt/mspas/login;C:\Users\anton\Documents\UVG\Semestre VI\SIG & Geodesia\PROYECTO_FINAL\ETAPA DE PRUEBA\SVG\FINAL\9.svg;Lunes - Domingo;8:00 - 15:00;27.32631579;1900;1440;1876;24;39.49769231;1300;787;1288;12;25.31333333;4200;3150;4177;23;9934
Guatemala;Guatemala;14.6366941;-90.52293587;10;Centro Especial Álida España;ALIDA ESPAÑA: Centro De Atencion Especial Para Niños, JFPG+MRG, Cdad. de Guatemala;https://waze.com/ul?q=Alida%20Espa%C3%B1a%3A%20Centro%20De%20Atenci%C3%B3n%20Especial%20Para%20Ni%C3%B1os%2014%20Calle%200-28%20Zona%203%20GT&navigate=yes;https://maps.google.com/maps/dir//ALIDA+ESPA%C3%91A:+Centro+De+Atencion+Especial+Para+Ni%C3%B1os+JFPG%2BMRG+Cdad.+de+Guatemala/@14.6366941,-90.5229352,17z/data=!4m5!4m4!1m0!1m2!1m1!1s0x8589a21f0dd838d3:0xbff2c6c9095aea3a;Registro previo / A demanda;DPI + Registro;https://registrovacunacovid.mspas.gob.gt/mspas/login;C:\Users\anton\Documents\UVG\Semestre VI\SIG & Geodesia\PROYECTO_FINAL\ETAPA DE PRUEBA\SVG\FINAL\10.svg;Lunes - Domingo;8:00 - 14:00;34.61333333;1500;1007;1482;18;39.49769231;1300;711;1282;18;66.4475;1600;528;1583;17;9934
